slug,src,alt,pie,fuente_url,fuente_texto
"castillo-chambord","https://www.shutterstock.com/shutterstock/videos/3697911255/thumb/1.jpg?ip=x480","Vista aérea del Castillo de Chambord","Vista aérea","https://www.shutterstock.com/es/video/clip-3697911255-aerial-view-chambord-castle-chateau-de-loire","shutterstock.com"
"castillo-chambord","https://img.freepik.com/fotos-premium/castillo-refleja-lago-dia-soleado-castillo-chambord-francia-julio_207709-228.jpg","Reflejo del castillo en el lago","Reflejo en el lago","https://www.freepik.es/fotos-premium/castillo-refleja-lago-dia-soleado-castillo-chambord-francia-julio_11463935.htm","freepik.es"
"castillo-chambord","https://photos.smugmug.com/Vallee-loire/Blois/n-DXvSZK/H%C3%B4tel-Relais-Chambord/i-DHzz8V6/0/mB5XcxFG3CBC7gVfz6mbwc8sHSdLvhCZXkbcbmtt/L/hotel-relais-chambord-6-L.jpg","Atardecer en Chambord","Atardecer en Chambord","https://loirelovers.fr/es/ruta-castillos-loire-itinerarios-visitar/","loirelovers.fr"
"castillo-chambord","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSenz2JzVv8GOXwctf1x4oYuxyESU2ow5RljA&s","Escalera doble hélice de Chambord","Escalera de doble hélice","https://www.pariscityvision.com/es/europa/francia/castillos-loira/castillo-chambord/escalera","pariscityvision.com"
"castillo-chambord","https://cdn-imgix.headout.com/media/images/910ab455e45d897372e004e5520ca99e-2561-loire-valley-loire-valley--cha%CC%82teau-de-chambord-01.jpg","Tejados y torres de Chambord","Torres y chimeneas","https://www.loirevalley-tickets.com/es/chateau-de-chambord/about/","loirevalley-tickets.com"
"castillo-chambord","https://www.viajaporlibre.com/wp-content/uploads/2021/02/chateau-de-chambord-Loira-10-770x513.jpg.webp","Patio interior del castillo de Chambord","Patio interior","https://www.viajaporlibre.com/francia/visita-al-chateau-de-chambord-en-el-corazon-del-loira","viajaporlibre.com"
