fecha,instalacion,ciudad,provincia,competicion,serie,pareja_roja,puntos_pareja_roja,pareja_azul,puntos_pareja_azul
14/12/2025,Mallabia I,Mallabia,Bizkaia,Campeonato Parejas,Serie B - Liga de clasificación,PEÑA II-SALAVERRI II,21,Murua-Gabirondo,22
14/12/2025,Mallabia I,Mallabia,Bizkaia,Campeonato Parejas,Serie A - Liga de clasificación,JAKA-IZTUETA,12,Elordi-ZABALETA,22
12/12/2025,Club Deportivo,Bilbao,Bizkaia,Campeonato Parejas,Serie B,Darío-Loza,22,Zubizarreta III-Aranguren,16
12/12/2025,Donibane,Muskiz,Bizkaia,Campeonato Parejas,Serie B - Liga de clasificación,AMIANO-ESKIROZ,22,Rekalde-Bikuña,16
